评论者姓名,评论时间,评论点赞数,评论者IP归属地,性别,评论者关注数,评论者粉丝数,评论内容
会画画的鸡腿堡,2024-04-24 12:12:45,12,来自山西,男,133,22,雷总，su7加入一下地平线5这个游戏呗
墨松听雨,2024-04-24 10:25:29,5,来自中国,男,14,11,看了这么多小米SU7的刷圈速视频，表现都非常出色，50万以内最快的车，好看又好开，展现了其卓越的性能和竞争力。
吴颖碎碎念,2024-04-24 10:31:31,1,来自广东,男,512,106.5万,佩服小米的速度，有质疑立刻澄清，有质疑立刻验证。浙赛是不是罗开罗来跑？
城南春风漫漫,2024-04-24 23:30:48,0,来自浙江,女,135,11,雷总，后面会出SUV吗？
请你記住我AB,2024-04-24 18:53:02,6,来自辽宁,男,161,5,建议雷总重新生产可好看了
许政_ECC,2024-04-24 12:07:43,3,来自上海,男,489,38.4万,劲爆的来了。其实去年底就传小米在浙赛刷圈速了，两次发布会都没讲，留到了车展。这是比较新的含有电动车的浙赛圈速榜。如果是Max版本原厂轮胎，大家猜猜圈速多少？原厂有一个21寸P0的版本，盲猜1分38秒5？等明天这时候打脸。毕竟后面还会有Ultra版本，到时候直接就刷纽北副本了
生蚝睡觉了,2024-04-24 10:18:05,3,来自广东,男,176,3499,有人要这玩意吗，想出了换su7
flexible-boy,2024-04-24 10:09:06,2,来自山东,女,112,76,赶紧出高尔夫平替吧雷总，期待小米两厢车！
幸福的宝贝乐2022,2024-04-24 10:02:16,5,来自江西,女,526,20,是骡子是马拉出去溜溜
揭阳大雨,2024-04-24 10:03:31,5,来自广东,男,1071,24.6万,小米汽车
一苇可航__,2024-04-24 14:22:29,5,来自北京,男,341,4,雷总好，今天看小米app每日一问26集因为pro评论区都干起来了，其实pro用户最核心的问题是，全网没有一辆现车，在煎熬的等待中需要一颗定心丸来安慰。我听到最合理的解释是，pro电池目前没有到货，所以交付晚。
农村小毕毕,2024-04-24 10:21:15,4,来自江苏,男,606,57,@余承东 大腚: 这样吧，也不用费功夫，我也不订小米了，都不买了，直接给我5000可以吗？？？
支持小米用小米小米用户,2024-04-24 10:12:04,7,来自陕西,男,4078,857,期待小米SUV
你好-苏同学,2024-04-24 21:32:25,0,来自福建,男,138,17,雷总原厂轮胎是什么轮胎是米其林还是小米生产的什么高端轮胎
李镰洞,2024-04-24 14:26:39,1,来自辽宁,男,219,3.3万,这是家庭轿车 ，不是公路赛车，我怎么没看到其他厂商下过赛道，是不敢吗？
颂文一朵小红花,2024-04-24 11:13:18,1,来自天津,女,575,408,期待北京车展
赵文锋Palm,2024-04-24 10:03:50,1,来自广东,男,22,227,
揭阳大雨,2024-04-24 10:03:25,1,来自广东,男,1071,24.6万,期待啊！
上官祁傲,2024-04-24 10:03:17,1,来自浙江,男,1604,3.4万,小米SU7牛逼
上官祁傲,2024-04-24 10:02:52,1,来自浙江,男,1604,3.4万,哇！可以.期待明天公布
长春这噶儿,2024-04-24 10:02:07,1,来自吉林,男,2496,53.1万,小米su7 梦中情车
谦米ultra,2024-04-24 10:01:36,1,来自江苏,男,65,18,期待住了
鹅是szy滴,2024-04-24 10:02:26,1,来自河北,女,833,63,嗯嗯
PuPu不是小仙,2024-04-24 10:02:22,1,来自内蒙古,女,53,97,期待期待
战惧plus,2024-04-25 03:36:12,1,来自江苏,男,672,277,看了主持连线小米汽车客服的视频很震惊啊，没想到这么拉
是啊楠呢,2024-04-24 14:37:33,1,来自河南,男,766,1.5万,手机问题还没解决呢我用了半年的小米13ultra屏幕开胶，售后不解决，让掏1300自费维修
dragonsun2,2024-04-24 13:49:30,1,来自江苏,男,117,2,雷布斯
吴阿阿阿平,2024-04-24 13:15:45,4,来自安徽,男,420,60,雷总啊！28 号当晚抢创始没抢到，秒下单标准版，什么时候能下线啊，当初锁单 app 显示四月底前交付，后来变成 5-8 周，现在生产中已经生产 14 天了！急啊，快点交我车来！人家十几周的都提车了
大漠蛟龙礼,2024-04-24 11:11:31,2,来自新疆,男,517,182,@大漠蛟龙礼：雷总！我发现一个空白市场！非常多的家庭开始需要壁挂式竖形空调了！抓紧时间出货吧！绝对是空调的新卖点！
懵懵朦朦哒,2024-04-24 10:45:43,1,来自江苏,男,73,11,这你受得了吗
冯昌坤_0408,2024-04-24 10:43:21,1,来自山东,男,1296,524,不用测试，不看结果，换道起飞，遥遥领先，我们只认PPT。@雷军
莆田太阳,2024-04-24 10:11:28,1,来自湖北,男,633,121,50万内最速量产车
紅尘觅良人,2024-04-24 10:06:14,1,来自广东,女,2089,2.3万,NO1？
AAA毛线帽收藏家崔先生,2024-04-24 10:03:59,2,来自江苏,女,204,42,雷总!期待明天车展
江苏地理中心泰州,2024-04-24 10:03:49,2,来自江苏,男,161,263,没想到小米第一次造车。轮胎就这么圆。加油
一米朋友,2024-04-24 10:01:30,1,来自湖北,男,57,13,这牛逼了，小米加油
米系科技,2024-04-24 10:01:23,1,来自山东,男,454,33,加油雷总
Rode罗德,2024-04-24 10:01:11,1,来自广西,男,166,165,期待
雄鹰_科技,2024-04-24 22:41:50,0,来自河北,男,4800,12.4万,强大
子伦同学,2024-04-24 21:46:13,0,来自新疆,男,661,680,
周周是个米粉,2024-04-24 19:31:55,0,来自重庆,男,7072,206,
万万没想到呀呀呀,2024-04-24 18:37:15,0,来自黑龙江,男,82,0,雷总我来问问啥时候上架大麻花
IsmeetPretty,2024-04-24 18:31:08,0,来自辽宁,女,282,1221,从生产中到提车大概多久呀
齐声唱响,2024-04-24 17:53:04,0,来自重庆,女,829,243,
茶花菊,2024-04-24 17:42:33,0,来自福建,女,133,203,。。。
西厅鹿鸣,2024-04-24 16:31:08,0,来自俄罗斯,男,2692,381,期待#2024北京车展# 小米SU7
工科男老王,2024-04-24 12:32:36,0,来自上海,男,280,6790,
稻妻浪子,2024-04-24 12:24:46,0,来自北京,男,1337,14,酷
杜横恒,2024-04-24 12:07:16,0,来自山东,男,31,83,自从有了酥妻雷总是一天好几条微博
H333洪攻略,2024-04-24 11:48:06,1,来自北京,男,55,106,雷总，小爱第二代音箱什么时候接入大模型
缪半仙_,2024-04-24 11:13:22,0,来自湖北,男,42,11,
开吉普的王希哈,2024-04-24 11:09:58,0,来自北京,男,1091,2685,真心建议雷总，家用车还是不要重点宣传开的快，越宣传，车主越想亲自体验，这就有不良向导的风险，会提升小米车主更多的安全隐患～
代立旭,2024-04-24 10:42:53,0,来自北京,男,169,10,加油小米
飞人爱晶晶,2024-04-24 10:39:46,0,来自安徽,女,688,1309,军哥哥，这评语热闹，不容易出众，据观察，还是喜欢你的人多些军哥哥
萌米不发烧,2024-04-24 10:38:32,0,来自黑龙江,男,61,5,家用车这么搞？
每天看云,2024-04-24 10:36:11,0,来自上海,男,508,74,坐等视频
-叫我小方,2024-04-24 10:36:10,0,来自浙江,男,363,170,
吴贻禄,2024-04-24 10:24:42,0,来自江西,男,151,620,
小周今天要努力啊,2024-04-24 10:23:24,0,来自吉林,男,64,134,卧槽！卧槽！卧槽！
Fiona_English_Club,2024-04-24 10:21:44,0,来自浙江,女,3399,565,^_^期待哦
大白菜不爱卷心菜,2024-04-24 10:16:44,1,来自重庆,男,154,14,雷总你活跃的像个假号
VV_Focus,2024-04-24 10:16:00,0,来自广东,男,1160,350,寒武岩灰max 什么时候开始大批量交付？ 遥遥无期～
CFang涛,2024-04-24 10:09:57,0,来自福建,男,310,65.7万,
小米搞车,2024-04-24 10:07:14,0,来自山东,男,85,32,已经开了20天了，只有开过的才知道有多爽
活着的咖啡因,2024-04-24 10:04:07,0,来自广东,女,97,0,雷总早早早
青红不分造白,2024-04-24 10:03:39,0,来自安徽,男,63,11,后面会不会出混动
人生如梦XH,2024-04-24 10:03:17,0,来自山东,男,1122,595,产能太低了！
绅士艺术家,2024-04-24 10:02:49,0,来自山东,男,2272,599,帅
肥贤儿,2024-04-24 10:01:46,0,来自上海,女,356,127,雷总什么时候再直播
小龙爱阅读,2024-04-24 10:01:21,0,来自云南,男,1038,1.2万,期待
谢团团575,2024-04-25 14:34:23,0,来自广东,男,212,0,
张成XZWM,2024-04-25 10:26:13,0,来自安徽,男,547,9055,强悍 老雷
冰一点3,2024-04-25 09:48:03,0,来自浙江,男,476,524,
jianzi2888,2024-04-25 08:56:02,0,来自广东,男,172,63,米其林你家开的？
Dreamy_Roadster,2024-04-25 08:27:20,0,来自山东,男,5130,203,
Nextimes02796,2024-04-25 08:24:27,0,来自海南,男,355,14,你是我的满心欢喜，也是我的热泪盈眶
FionA猪猪猪,2024-04-25 01:51:47,0,来自上海,女,233,406,雷总💪💪💪，新车大卖
卑bi嘚我,2024-04-25 00:07:46,0,来自辽宁,男,164,215,
樱子1874,2024-04-24 23:12:41,0,来自广东,女,41,0,雷总再低调点，别逼疯了“三老汉”。
绣虎啦啦啦,2024-04-24 23:04:42,0,来自北京,男,329,26,期待期待
1984赵斌,2024-04-24 23:00:05,0,来自河北,男,131,11,
博博叫秋裤,2024-04-24 22:37:05,0,来自河南,男,31,5,，
小肚皮飒到赁远,2024-04-24 21:54:00,0,来自江苏,男,2002,500,心理学上有一个法则叫“麦拉宾法则”也叫“7/38/55定律”。 它讲的是，我们在和一个人交流 时，对方感知到的信息：55%是通过看，比如我们的手势、表情、态度、肢体语言等：38%是通过听，比如我们说话时的语调、语气、 速度、声音大小等； 只有剩下的7%，才是纯粹说的具体内容。完美解释了充值震的心理
你好-苏同学,2024-04-24 21:30:43,0,来自福建,男,138,17,原厂轮胎是什么轮胎米其林嘛？
AA对蛙弹琴,2024-04-24 21:17:55,0,来自山东,女,986,46,我猜雷总@雷军 明天车展，会去其他企业展台转转，但是绝对不去吉利展台
你好-苏同学,2024-04-24 20:59:40,0,来自福建,男,138,17,轮胎都自己生产了吗？
mm_wuwei,2024-04-24 20:42:10,0,来自江苏,男,301,262,
或越经年,2024-04-24 20:20:24,0,来自湖北,男,316,124,一月份购买的米家跑步机，半年内两次电机损坏，要求退货，小米公司不解决，这种企业造车质量有保障吗
犀利的大伯,2024-04-24 20:00:12,0,来自广东,男,142,95,雷
尤里2023,2024-04-24 19:55:43,0,来自广东,女,158,16,雷总好，我一个从来不看车不会开车都知道小米的车了，真的很出圈。看了一圈，小米的车果然是国内颜值top!
青星羽,2024-04-24 19:32:34,1,来自江苏,男,955,401,su7国外的年轻人肯定喜欢，可惜了不能落地错失了时间
霸道村支书0314,2024-04-24 18:36:31,0,来自湖北,男,87,56,雷总，坐等 6 座 SUV，我的 model3 等着换呢
重新再来mi,2024-04-24 18:29:54,0,来自河南,男,62,3,小米MIX5什么时候发
见与信,2024-04-24 18:26:52,0,来自河南,女,90,2,@雷军 再催一下aeb紧急制动，可别忘了。这和智驾，碰撞，雷达，视觉感应同等重要。
木木木木爆料,2024-04-24 17:56:15,0,来自河南,男,443,136,雷总能不能再有一次创业，小米电动摩托车。续航500公里左右@王腾Thomas @雷军 @卢伟冰
我爱小灰宝宝,2024-04-24 17:54:32,0,来自广东,女,448,217,雷总您还记得那个时候吗
林啃先生_NUA,2024-04-24 17:26:41,0,来自广东,男,1109,912,非常期待呀
漱玉学字,2024-04-24 17:21:04,0,来自天津,女,98,444,雷总，为什么我的Pro不能提前些交付呢
Xxeeeeee,2024-04-24 17:15:51,1,来自湖北,女,572,1102,今天刚提的霞光紫max ，对女司机来说好看防晒就够了！驾驶后发现意外的好开是加分项！
美少女西施,2024-04-24 17:12:09,0,来自山东,男,454,180,雷总，潍坊风筝节到了，为什么不把一辆小米su7做成风筝飞上天呢，你要做第一个把汽车飞上天的男人
炯炯-Malcolm,2024-04-24 17:08:48,0,来自上海,男,294,30,@雷军 雷总，什么时候安排两门版su7
你知我几分_o,2024-04-24 17:04:41,0,来自山东,男,53,98,雷总，小米Q1跌出前5了，系统还不重视吗
牛牛建建超,2024-04-24 17:04:24,0,来自河南,男,283,1,雷总，能来我们河南建厂吗？我们河南真的很欢迎你的
朝花夕拾zx,2024-04-24 16:57:56,0,来自福建,男,636,140,充值震双标gou
xuezhang1801,2024-04-24 16:57:17,0,来自吉林,男,1858,1090,图片评论
雷总小可愛,2024-04-24 16:56:14,0,来自山东,女,2555,382,
清塘小蛙,2024-04-24 16:55:06,0,来自广西,男,74,8,Oppo也好，vivo也好，华为也好。低配高价太严重了。这也能卖得出去啊，我真的服了。
南乔Leslie,2024-04-24 16:44:50,0,来自中国,男,242,3,122
怎么都行随便吧,2024-04-24 16:43:40,0,来自河南,男,1049,255,
放荡不羁一生爱自由,2024-04-24 16:42:15,0,来自江苏,男,181,15,更期待V8s了
周婷婷Donna1128,2024-04-24 16:33:13,0,来自江苏,女,450,118,在干嘛呢？？雷总！！@雷军
超嗨森不是超超呀,2024-04-24 16:32:22,0,来自甘肃,女,170,0,雷总，小手星人想要一款小屏幕的双卡双待手机，不要折叠的，又贵打开之后又不好拿。雷总能不能让他们研发一下
感受生活中点点滴滴,2024-04-24 16:27:23,0,来自山西,男,697,659,再抓抓产能吧
菏泽H下小雨,2024-04-24 16:26:23,0,来自山东,男,41,1,陈震没收钱
不明真相的围观群众f,2024-04-24 16:26:18,0,来自河南,男,603,28,
一口西多士-加奶,2024-04-24 16:25:28,0,来自广东,女,70,0,明天有直播吗？雷总
唯一的-那只猫,2024-04-24 16:23:36,0,来自云南,男,254,4,
清塘小蛙,2024-04-24 16:15:32,0,来自广西,男,74,8,小米汽车。不能远程删吗。不能看还不能删一些啊。要不要指纹认证，手机指纹认证才能删储存满了，为什么不留一个缓存呢，就是实际刮伤和撞到这个视频才录下来。回归到本质就是你们只是做了市场上面正常应该有的功能，但是你们没有去做创新。毕竟就算做了一点点创新，也不会加工资。领导只会说，嗯。
Lcyz321,2024-04-24 15:56:16,0,来自广东,男,477,21,50万内最速
Super_Wei88,2024-04-24 15:55:49,0,来自江苏,男,249,641,数字系列最后一台MIX4什么时候升级澎湃，当年旗舰，最后一个没升级了。
我只爱吃樱桃呀,2024-04-24 15:40:12,1,来自湖南,男,58,6,雷总我很想得到你的提车祝福
见与信,2024-04-24 15:33:42,0,来自河南,女,90,2,@雷军  最重要的是防撞和aeb紧急制动。
Grass吱昂张,2024-04-24 15:29:17,0,来自吉林,女,104,294,
me-冰山下的火种,2024-04-24 15:22:55,0,来自湖北,女,507,35,明天车展的直播在哪里可以观看？
小米炒荷兰豆,2024-04-24 15:22:45,0,来自广东,男,22,11,无敌了SU7
大口缸-魏才竣,2024-04-24 15:17:10,0,来自广西,男,111,1149,可以拍违章了吗
可-达鸭--,2024-04-24 15:07:18,0,来自陕西,男,28,0,雷总，考虑一下出个官方的改色膜，su7颜色都很好看，想都体验下。
白梅盏,2024-04-24 15:01:11,0,来自湖北,男,200,18,第八
zhong奖绝缘户是小米手机忠实粉,2024-04-24 15:00:56,0,来自广东,男,1798,537,
一颦一笑如痴如醉,2024-04-24 14:49:08,1,来自湖南,女,386,589,活跃的像个假号，哈哈哈哈哈哈哈哈
挚爱小米多,2024-04-24 14:48:47,0,来自福建,男,1070,23,雷总，祝福小米大卖！希望和小米达成金融合作的第8️⃣天 来自一个汽车金融公司员工的梦想，万一哪天实现了呢
呱呱好运的小杨,2024-04-24 14:27:47,1,来自重庆,女,86,1,
西城怪咖,2024-04-24 14:17:22,0,来自北京,男,149,152,雷总，陈震没充值生气了，不安慰一下
悲伤过后是笑容,2024-04-24 14:09:43,0,来自山东,男,1153,26,雷总啥时候你去漂移
181涛,2024-04-24 14:04:10,0,来自中国,女,25,1,
o但求无悔oV,2024-04-24 13:53:28,0,来自北京,男,2227,284,雷总，对对手仁慈就是对自己人残忍，你不下狠手，别人可想你死。太伤粉丝心啦
鸣尊大人,2024-04-24 13:49:01,0,来自陕西,男,121,78,，，
好人壹生ping安,2024-04-24 13:48:24,1,来自辽宁,男,89,4,真不错👍
暖阳般的男子,2024-04-24 13:47:01,0,来自山东,男,47,78,
刹影孤汐,2024-04-24 13:31:15,0,来自湖北,男,114,26,期待
路人啊波,2024-04-24 13:16:07,1,来自湖北,男,138,10,
八神庵里八神仙2009,2024-04-24 13:14:48,0,来自湖南,男,12,14,雷总，赶紧把解锁跟锁车的铃声自定义开放啊，不想听千篇一律的bb声
阿斌正传哈哈哈,2024-04-24 13:03:55,0,来自山东,女,265,1027,杨学良圈速没用
好运星空01,2024-04-24 13:02:15,0,来自江西,男,180,102,希望实事求是不要又是一行小字
特战,2024-04-24 13:01:08,0,来自陕西,男,446,2.2万,
电子茅台,2024-04-24 12:55:27,0,来自陕西,男,71,61,不见不散
香辣油饽饽,2024-04-24 12:47:17,0,来自广西,女,49,2,
弓长宝鱼,2024-04-24 12:44:44,0,来自湖南,男,292,127,
荔枝成为雷军钻粉,2024-04-24 12:44:21,1,来自山东,男,170,0,期待
葉落軒轅臺,2024-04-24 12:41:46,0,来自福建,男,463,78,
鲍晓威,2024-04-24 12:40:59,0,来自湖北,男,203,6,雷总，我是您的小米手机用户，在此祝贺您小米SU7大卖……
草莓爆竹,2024-04-24 12:40:52,0,来自江西,女,127,95,军儿，产能何时上来啊，现在订要30周提车真的等不起
Top_Bright,2024-04-24 12:39:39,0,来自浙江,男,66,44,用成绩让那些只能用嘴巴说遥遥领先的汗颜。
郭子豪5555,2024-04-24 12:38:37,0,来自广东,男,112,17,股票张涨涨
牛牛建建超,2024-04-24 12:37:42,0,来自河南,男,283,1,雷总，您来我们河南建厂吧
琻灪,2024-04-24 12:28:56,0,来自云南,男,97,0,更新系统卡成PPT，音量键不灵敏，掉电还贼快，爱了爱了
苏同黎车神,2024-04-24 12:24:09,0,来自江苏,男,87,44,雷总 怎么提高收入 努力工作好像效果不太明显
用户39HU1073K461,2024-04-24 12:24:03,1,来自北京,女,78,1,自如震，受不了啦@陈震同学
琻灪,2024-04-24 12:23:44,0,来自云南,男,97,0,为什么更新澎湃OS之后卡成PPT，音量键还不灵敏？
芸遥9,2024-04-24 12:18:59,0,来自广东,男,43,2,
35向往独行,2024-04-24 12:06:36,0,来自广东,男,490,1234,优秀
再一次获得重生,2024-04-24 12:05:42,0,来自湖南,男,171,122,昨天米粉丢大脸了雷总
犀灵有心,2024-04-24 12:03:32,0,来自广西,女,317,103,会放出视频吗？想看看。
AutismFzXx,2024-04-24 11:53:09,0,来自安徽,男,132,106,雷总，小米工厂啥时候可以开放参观
等我有钱了就给陈泽刷米,2024-04-24 11:52:11,0,来自广西,女,105,0,手环9什么时候
心之伊影,2024-04-24 11:51:24,0,来自广西,女,478,419,
简简单单--王小V,2024-04-24 11:48:02,0,来自甘肃,男,99,143,雷总威武
Jacket-Z,2024-04-24 11:47:11,0,来自广东,男,239,334,热度一直在线
车厘子星球,2024-04-24 11:46:12,0,来自海南,女,1048,1252,可以造个婴儿座椅吗
蟹老板的vb,2024-04-24 11:45:05,0,来自河南,男,41,0,绝对不负众望，性能强悍
y钦哥哥,2024-04-24 11:44:52,0,来自福建,女,590,78,期待
情迷哈密瓜,2024-04-24 11:42:54,0,来自江苏,男,110,3,刹车片肯定不是原
阿邦老师,2024-04-24 11:28:02,0,来自安徽,男,368,58,支持雷总
卖烧饼他哥,2024-04-24 11:27:57,0,来自北京,男,95,207,给友商留点面子
小王爱小许KingWang8848,2024-04-24 11:27:52,0,来自海南,男,1088,310,雷神，开个小米食堂连锁店吧，小米就不要进军房地产了，发布个房车就行，房车相当于一个小房子了，定价30多万就行，衣食住行小米都安排了
Yachin10,2024-04-24 11:27:28,0,来自江苏,女,36,206,期待
颠颠又叨叨_,2024-04-24 11:26:57,1,来自江苏,男,250,24,调侃了几句《到此为止》就被拉黑了，玩不起呀
谏xxr,2024-04-24 11:21:13,0,来自山东,男,170,20,牛逼
我就是XTT呢,2024-04-24 11:16:10,0,来自重庆,女,33,37,pro啥时候生产呀，好难等！！！
金炎吖,2024-04-24 11:16:02,0,来自新疆,男,34,2,雷总，啥时候研发中大SUV啊
朱慶傑-,2024-04-24 11:12:23,0,来自山东,男,499,392,小米加油
小小西河溪水,2024-04-24 11:09:18,0,来自山东,男,53,0,V8S跑纽北了吧
其实我认识小娉,2024-04-24 11:07:51,0,来自上海,男,890,191,雷总！su7Max 排到年底的定金可不可以改成“ultra”的定金，太久了
永远都会笑slx,2024-04-24 11:07:15,1,来自河北,男,157,7,雷总，只有第一天会去么，打工人五一才有假
苏菲娅宁,2024-04-24 11:06:30,0,来自福建,男,163,257,期待明天有更多利好消息
xtarrySeen,2024-04-24 11:04:17,2,来自江苏,男,135,3,雷总，翼子板脱落是什么情况？
美好的事情即将来临加油,2024-04-24 11:01:32,0,来自广东,男,18,3,雷总 几时出新书
可可芭拉拉,2024-04-24 11:00:20,0,来自广东,女,199,265,明天北京车展了
清远鹏余晏,2024-04-24 11:00:04,1,来自广东,男,1064,1090,早
小江什么时候能毕业,2024-04-24 10:59:27,0,来自湖南,男,29,2,期待
永远的大奔15,2024-04-24 10:56:31,0,来自福建,男,291,549,
一口一个萱宝,2024-04-24 10:55:10,0,来自福建,女,204,99,好好好
西木16,2024-04-24 10:55:02,0,来自安徽,女,587,22,所以2.78秒到底是不是原厂轮胎跑出来的？
陆月冬眠,2024-04-24 10:50:43,0,来自湖北,男,32,178,雷总你好，我是一名k40用户，正常使用突然黑屏变砖了，真的是变砖不能做任何操作，cpu虚焊过保了，客服说没有任何办法处理，只能自费维修，我感觉不合理，之前我不理解微博上为什么一直有人骂，落自己头上就啥都懂了
mesa_pl,2024-04-24 10:49:49,0,来自黑龙江,女,103,19,本来怕没反噬没敢宣传圈速，几天下来一拍大腿发现自家圈速还挺nb
平平仄仄平平_,2024-04-24 10:48:51,0,来自上海,男,51,2352,必须牛逼
正义女神--浩元2010,2024-04-24 10:43:18,0,来自黑龙江,女,140,386,
华莱士好好工作谈笑风生,2024-04-24 10:43:07,0,来自上海,男,853,110,雷总活太密了 收徒！
春水望不断,2024-04-24 10:41:58,0,来自湖南,男,151,23,是su7让我一个不懂赛道的人爱上了看赛车
活力橙米兔,2024-04-24 10:41:43,0,来自江西,男,292,3,期待
杰克船长晕船,2024-04-24 10:39:59,1,来自湖北,男,1014,509,汽车最好的广告就是赛车冠军🏆
海狗必须屎,2024-04-24 10:36:38,0,来自山东,男,59,4,雷总怎么看劳改犯对小米su7的评价？
Blues蓝雨,2024-04-24 10:35:21,1,来自江西,女,299,465,日常標配去跑專業賽道#小米su7# 小米小公牛!!!
知不知行不行,2024-04-24 10:35:20,0,来自上海,男,313,14,SUV啥时候出？
公知有信心,2024-04-24 10:33:02,0,来自福建,男,53,1,支持雷总
晓萌是雷粉,2024-04-24 10:32:41,0,来自陕西,女,303,39,期待明天的公布
silvertoki08,2024-04-24 10:31:35,0,来自湖南,男,366,36,雷总，小米汽车订了，等7个月也值得，啥时候出一个真全面屏手机啊，mix4已经用了3年了，之前小米手机一年一换的，挖孔屏实在无法接受。此外出一个4080或者4090显卡笔记本呗，我家所有产品可以说就只有汽车和笔记本不是小米的了。
米兔0815,2024-04-24 10:30:24,0,来自北京,女,25,0,雷总让人挺失望，已订特斯拉新款3高性能版
算了丶顺从,2024-04-24 10:29:07,0,来自广东,男,258,139,说好的不建议原厂直接下赛道，然后自己惊艳所有人是吧
相陌相识,2024-04-24 10:27:54,0,来自湖南,男,106,52,雷总小米手环 9 啥时上啊，二月份就开始等，现在还没有一点消息
buffydaddy,2024-04-24 10:27:32,0,来自陕西,男,155,388,不开赛道的司机不是好老板
暴走小马_u,2024-04-24 10:26:02,0,来自陕西,女,21,0,雷总，上班时间不要玩手机
为了开始而选择忘记,2024-04-24 10:25:49,0,来自江苏,男,74,69,
YuHONGYAnG_,2024-04-24 10:24:43,0,来自河北,男,178,541,期待！！支持雷总
小张叫ZY009,2024-04-24 10:23:46,0,来自山东,男,261,153,原厂胎跑浙塞啦
小云书屋,2024-04-24 10:22:31,0,来自甘肃,女,1015,33,期待SU7在浙赛的好成绩！太期待啦！
呵呵黑洞,2024-04-24 10:21:37,0,来自陕西,男,914,287,国内车企为啥不搞个方程式大赛
小云书屋,2024-04-24 10:21:21,0,来自甘肃,女,1015,33,天呐！早就知道这辆车是真的好开！但这是又要升级了？
帅帅米fen9077,2024-04-24 10:20:17,0,来自山东,男,2546,300,期待了
