Username,Content,Post Time,Shares,Comments,Likes
新渠道-李霸天,"#L6发布72小时一线情况#

🔶 L6订单：订单1-1.5万，占整个品牌订单80%，锁单率约七成
🔶 L6与L7的竞争：L7 Air/Pro的客户，现在几乎都转L6 Max了
🔶 用户画像：比之前L7/8/9的明显更年轻，偏好增程
🔶 L6竞对：这次对比问界的少了很多，反而小米SU7成为提及率最高的竞对；其次是Model Y、极氪0 ...全文",4-22 02:05,65,205,583
Kevin王的日记本,"SU7黑武士已经开始交付了，@极速拍档-NANA 同款

#小米su7# 是不是心动的感觉",4-23 04:50,196,206,1736
大卫侃车,得是#雷军# 啊，其他人几百亿没造出个啥车，雷军100亿搞定了#小米su7 #小米汽车#大v聊车# 大卫侃车的微博视频,4-20 00:57,30,114,761
曾子言,"我提车晚了四天，不过应该比张颂文老师早

是时候给小米SU7 拍一组定妆照了！

#小米汽车# #小米SU7# #雷军不知道张颂文提车了没#",4-18 08:49,43,318,1087
许斐,明天，#小米su7# 会首次亮相北京车展，雷总会直播发布，看点很多，SU7浙赛成绩也将揭晓 大家有什么感兴趣的问题，快来告诉我，我去帮你们找答案 许斐的微博视频,19小时前,4,47,318
雷军,"我们用#小米su7# 原厂轮胎跑了一下浙赛。

SU7 Max 性能确实强悍，成绩明天在车展上揭晓！",昨天 22:00,118,967,7125
小米汽车,"#小米SU7#首次参加北京车展，
一切都准备好了，十分钟后，发布会见！
#小米SU7北京车展发布会##2024北京车展# 小米汽车北京车展发布会",刚刚 转赞人数超过10,3,3,22
闫跃龙,小米SU7的广告牌真醒目，占据最有利位置。#2024北京车展##小米su7#,2分钟前,转发,评论,1
李肖爽,北京车展我们来了，#小米su7# W2馆见！ 北京·中国国际展览中心顺义新馆,刚刚 转赞人数超过20,转发,12,25
AutoLab评测官,"昨天余承东在发布会上说，在前风挡上弄三层镀银会严重影响手机信号，不能为了防晒而影响信号

今天小米就回复了，小米 SU7 不仅搞了三层镀银，而且还经过了充分测试，并不影响手机信号，不过小米同时也表示，第三方包含贵金属材料的隔热膜确实有可能产生影响

有点好奇，小米 SU7 的隔热膜是用什么黑科 ...全文",刚刚 转赞人数超过100,5,74,199
-CG辉,小米汽车的展台全是人#2024北京车展##小米汽车##小米SU7#,3分钟前,转发,评论,赞
小米汽车,"今天上午09:20，小米汽车北京车展发布会见！
听@雷军 和大家聊聊：
上市以来的成绩和2024年的新计划。
转评“#小米SU7#北京车展发布会见”，抽送一台小米14。
#小米SU7北京车展发布会# 小米汽车的微博直播 小米汽车北京车展发布会",刚刚 转赞人数超过1200,1338,1200,693
张家很小米,"#小米SU7##2024北京国际车展#
小米这完全走不动了。绝对的人气王",8分钟前,转发,评论,赞
五舒先生,#雷军##小米su7#,8分钟前,转发,1,赞
车动态,车圈搅💩棍，媒体日已经水泄不通小米儿#新能源汽车##2024北京车展##小米su7#,9分钟前,转发,评论,1
车言所Trend,"还有20分钟开始，小米展台实在太火了
#小米su7# 北京·中国国际展览中心顺义新馆",12分钟前,转发,1,赞
飞走的云520,"小米的产品到底是什么神仙产品经理定义的。原本我的别克微蓝6插混，为了找到合适的拍摄位置，摸索了很久。

小米su7直接一步到位，这个位置的1/4螺口太香了，天然为第一人称视角拍摄而生，action可以完美拍到车机屏幕、仪表屏幕、路面。视角高度也非常完美，车机的上边缘刚好比前挡玻璃下边缘矮一点点 ...全文",15分钟前 转赞人数超过10,2,2,14
电驹哥说电动车,#2024北京车展# 小米是真火啊，刚开门就围这么多人 #小米su7# #北京车展#,17分钟前,转发,3,4
科技九洲君,#小米su7#赢麻了，没想到特斯拉最终在国内上了个阉割版的特斯拉Model 3高性能全轮驱动版，电池包从82kWh的松下换成了79kWh的LG，猜测可能出现了电池输出功率不足的瓶颈，导致零百加速慢了0.2秒，从2.9秒到了3.1秒，马力小了50匹，CLTC续航623km，售价335900元，按照这个情况来看，完全没有理由买 ...全文,18分钟前 转赞人数超过200,59,183,275
莆田太阳,"小米汽车半小时后我们相约小米汽车北京车展记得去看直播哦！@小米汽车

#北京车展##小米SU7##小米汽车北京车展发布会#",21分钟前,转发,评论,2
麦浪哥哥V,来啦！解锁小米SU7真正的秘密，我也找来台车体验一把，这回头率确实可以#全民拍车##小米su7# 麦浪哥哥V的微博视频,25分钟前 转赞人数超过10,1,评论,12
深圳湾小海盗-丶,#小米su7# 2024年交付目标10万辆,27分钟前,转发,1,赞
海亮同学,"早上歪歪一下，@SugarDesign 这组图真帅哇…#小米su7# 全黑化改宽体，喜欢么？

当然这样也就不能上路了，全黑化一下也很帅",27分钟前,转发,8,2
卢伟冰,"小米汽车首次亮相北京车展

北京车展W2馆·W203展位
#小米su7#",28分钟前 转赞人数超过100,6,45,257
贷房,“#小米SU7#北京车展发布会见”，支持雷总，支持小米汽车,31分钟前,转发,评论,赞
BugMakerQAQ,"#小米su7#
@雷军 不知道能否和客户端的同学们同步一下，实时更新这个预计提车时间，每次看到这个数字都很绝望",32分钟前,转发,4,赞
雷行y,#小米SU7#小米是一家科技公司么？销售推广费用比研发投入还高！无穷的广告砸市场。让人反感至极。流量会被反噬。,40分钟前,转发,评论,赞
森科技圈子,"#小米su7# 原厂轮胎跑了一下浙赛。

SU7 Max 性能确实强悍，成绩明天在车展上揭晓！ 小米汽车#汽车之家首发首测小米su7#",40分钟前,转发,评论,赞
字幕君GOUBA,"今天用新到的橄榄绿限量定制色小米14拍了一张小米SU7 Max 橄榄绿，这角度也太保时捷了！！

SU7应该是我买过最让我满意的车（主要是也没买过几辆）不知道是不是我故意不看车开盲盒的原因，现在觉得它很多部分都超出了我的期待！

提车视频明天下午发！有节目！

#小米su7##我在东北开电车# ...全文",41分钟前 转赞人数超过100,转发,35,145
爱极客,"小米要发浙赛成绩，极氪今天回了四张图，您细品，我简单讲讲：

-虽然只是SU7 Max（没有V8s），但肯定会被人拿来跟吉娃娃们对比

-其实极氪这四个成绩早就公布过了，这次是拿出来炒冷饭（蹭热度）的

-小米汽车还没上市时，就有过“顶配SU7（V8s）浙赛干掉了001 FR”的传闻

-如果说SU7 Max浙赛 ...全文",44分钟前 转赞人数超过40,转发,47,51
钛粉托尼,#小米su7# 导航好用，这个手机支架确实在安装之后没怎么用过 北京·顺义新国展,58分钟前,转发,2,11
真的很合衬,#小米SU7# #2024北京车展# 又喜欢小米14又惦记小米su7,1小时前,转发,评论,赞
太空橘子,"你们只看到了

金老师被陈怼的现场逻辑混乱

没看到

他的粉丝粘度真高，抖上100万粉丝只掉了3万

没看到

他回到安全屋，又继续发微博，视频，开直播干陈…

佩服

#小米su7##新能源汽车##大v聊车#",1小时前,转发,1,2
训殖师,虽然它3月28开售，29日宣布大定突破88898台，可是后来大家都知道了，这是龙晶大定啊，怎么算销量，都还没开始交付呢！再者说了，3月榜单，小米开售只剩几天，不排也很正常啊。就算排，也排不到它。不理解问界为什么能排第一就更搞笑了，因为他销量第一，所以排第一啊#问界##小米su7#,2小时前,转发,评论,赞
行笑笑_邢笑雨,"早
#小米SU7#「50万以内最速量产车」，能否挑战成功？9:20发布会哦",2小时前,转发,1,3
字幕君GOUBA,"为了搭配我的小米SU7 Max，我在闲鱼4000收了一台定制色的小米14

#小米su7#",1小时前 转赞人数超过100,3,29,100
Nomy王化萌,【霞光紫与紫霞仙子】#小米su7##小米酥妻#霞光紫与紫霞仙子，开着自己的SU7嘚瑟啦！ Nomy王化萌的微博视频,2小时前 转赞人数超过100,3,18,152
资深划水大师,"还是黑武士好看啊
#小米su7#",3小时前,转发,3,赞
星月ozzZZ,"早晨看了下昨天两位大V的辩论，就无边框后视镜说点个人看法。
汽车后视镜在雨天的清晰度，不管有没有边框都影响不大。

所有光学后视镜，镜面都是一块竖直杵着的玻璃，整体造型大差不差，跟流线型水滴造型明显不同。
在行驶中，这种形状会导致镜面位置有背压，雨水和灰尘都会附着上去——无论有没有边 ...全文",3小时前 转赞人数超过30,6,26,33
王化,#小米su7# 答网友问第二十七集，还是挑选两个热门问题，第一个就是“前风挡三层镀银是否会影响手机信号？”这个很简单“不会！”另外一个昨晚都有朋友问我，“有网上用户反应，小米SU7翼子板脱落，是什么原因造成的？”答案很完整，简单来说“经核实，目前仅个例车辆出现了翼子板脱落的问题，且问题车 ...全文,4小时前 转赞人数超过80,4,19,78
用户7850551874,雷军：小米汽车SU7锁单量已超7万台，2024年交付目标超过10万 #小米su7##小米#,6小时前,转发,1,赞
用户7814961973,"小米我由爱生恨了。
买了半年烧了一次保修了了一次，过保之后不到两个月就烧了。
在数码圈七八年了，从红米1s开始到小米等等基本都用过，在我最想养老的最穷的时候给我一记暴击。粉转黑#小米##小米su7##小米汽车# @雷军 @红米 @卢伟冰 @魔法师蛋小丁",6小时前,转发,3,赞
晖蛋Ivan,"金剪刀和陈震的直播对线看完了，专业知识为0，捕风捉影的事信手拈来，看得尴尬的我替金剪刀抠出来了座四合院。
#小米SU7# 的路人缘活活被这种人败光了。
#陈震回应小米su7测评争议#",8小时前,转发,评论,1
InGEE工作室,「小米汽车北京车展发布会」正在直播，小米创始人雷军与大家聊聊 Xiaomi SU7 上市以来的成绩和背后的故事，2024年 Xiaomi SU7 还将有哪些规划。欢迎观看直播！#小米SU7北京车展发布会# #小米SU7# InGEE工作室的微博直播 小米汽车北京车展发布会,9小时前,1,评论,2
小王企图去摇柠檬茶,#小米su7# 800V，真快啊，如果高速用800V的桩补能，里程焦虑能有效降低,9小时前,转发,1,赞
生之如舟_,小米SU7没必要贴膜！太阳膜只用贴两侧！#小米SU7##小米汽车# 生之如舟_的微博视频,8小时前 转赞人数超过100,6,15,102
万能布偶先生,"#极氪007# 销量果然不太行呀，还是外观最重要，性价比只是首批销量，外观内饰整体水平才是持久的。
所以从这点上来说#小米su7# 我相信还是比较长青的。",9小时前,转发,评论,赞
我是钟雪_,新目标，加油啊#小米su7#,10小时前,转发,1,赞
铁秀IRONSHOW,"莫愁前路无知己，天下谁人不通米
#小米su7##小米##极氪007##雷军##比亚迪# 铁秀IRONSHOW的微博视频",昨天 23:31 转赞人数超过100,23,33,176
涵冰科技,#小米汽车回应玻璃镀银影响信号# 最近可以说小米汽车的风波不断，#雷布斯# 今天针对这个问题也是及时做出了回应，不得不说这段时间可真够雷老板忙的，大家怎么看呢？#小米su7#,10小时前,11,23,20
小米公司,"明早09:20 听@雷军 和大家聊聊：
上市28天进展如何？2024年还有哪些新计划？
一图速览发布会看点，点击了解直播平台信息。
#小米SU7##2024北京车展#",昨天 23:17 转赞人数超过80,15,10,89
才华有限同学,#小米su7# 地库偶遇一辆小米SU7… 北京·海悦·青棠湾,10小时前,转发,2,赞
长三角行健者,"最近看了几场传统品牌的发布会直播，虽然按照以往的经验来看，大家都很努力、都想在新能源时代与时俱进、顺利转型，先不谈其它，就谈发布会的形式和对产品、技术的讲解之形象、生动，而不是纯粹华丽词藻的堆砌来讲，比起雷布斯SU7发布会都差很远！
#新能源大牛说##小米su7#",10小时前,转发,7,15
雷军,"小米汽车工程师们，从第一天开始，就渴望为朋友们造一辆 Dream Car.

三年时间的研发和打磨，#小米su7# 就是我们交出的第一份答卷。",昨天 23:01 转赞人数超过4400,87,739,4649
我是HYK,"我的高中同学，作为特斯拉 Model 3 焕新版的车主，是如何锐评小米SU7 的，跟大家分享一下。

外观的轿跑造型跟保时捷很像，车身的姿态也很不错，不像 Model 3 那样，车屁股是翘起来的，而且刹车卡钳也比 Model 3 高性能版的好看。

内饰配置的差距很大，特斯拉的前排只有一块中控屏，没有仪表盘，也没 ...全文",昨天 22:29 转赞人数超过80,1,52,95
米西大王日记,真好看啊#小米su7#,11小时前,转发,1,赞
村霸小吴,今天看了实车，果然很小米啊。#小米su7#,11小时前,转发,评论,赞
王化,"最近一些非常专业的赛车手老师都喜欢拿#小米SU7# 下赛道刷圈，这次我们也官方下场去跑了跑，想知道浙赛成绩么？明日揭晓！「50万以内最速量产车」，能否挑战成功？
明早09:20 发布会见！#2024北京车展#",昨天 22:18 转赞人数超过100,10,46,172
豆豆的一号粉丝,是不是全网第一个小米su7车友聚会？临沂小米su7大集合，来了10辆车，楼上展台只放了一部分#小米su7# @雷军,11小时前,转发,1,赞
我是孔野,安排了#小米su7#小米汽车静待提车 @雷军 雷总加速提车 are you OK?,11小时前,转发,评论,赞
王扒万,"偶遇雷总直播!

#小米su7# 王扒万的微博视频",11小时前,转发,1,5
liefour,“我认为”。🐶眼成法规了？！#小米su7#,11小时前,转发,评论,赞
梦想的驾驶员,小米su7抄袭保时捷真的很尴尬，保时捷的回复也足够大度，小米手机的目标一直说是在追赶苹果，结果连华为也没干过，小米汽车说要媲美保时捷和特斯拉，结果还干不过极氪#小米su7#,11小时前,转发,1,赞
车造-宗泽远,《小米su7京沪续航实测》正片来啦！ 我1225km从北京到上海，标准版的小米su7真实能耗测试#小米su7#,昨天 21:55 转赞人数超过20,4,16,34
帮你带奶茶了,今天是个值得庆祝的日子，选择了紫色，但对橙色还是念念不忘，争取下一辆去弥补吧拿车的那一天又是怎样的心情呢，期待中……#小米su7#,12小时前,转发,1,1
一只坏坏6,"锁车成功🏅#小米su7#
各高数大类第一名小米汽车一辆！#师大专升本# 来师大赢大奖",12小时前,转发,1,1
喜悦YY9,小米速度#小米su7#小米汽车,12小时前,转发,1,赞
sssgenius,#小米su7# 网上看到的一张小米su7的交付图，不知道真假，非官方发布！,昨天 21:24 转赞人数超过80,8,40,93
消费大嘴巴,"刚刚，雷军回应小米SU7“前风挡三层镀银是否会影响手机信号”？👇🏻 网友：真成连续剧了

此外，回应还提到“有网上用户反应，小米SU7翼子板脱落，是什么原因造成的？”
#小米su7# #陈震回应小米su7测评争议#",12小时前,转发,1,3
大神CC,"小米SU7的HyperOS1.0.12更新已经推送，修复了不能拔枪的问题，提升了第三方充电桩的兼容性。

#小米汽车##小米su7#",12小时前,转发,评论,1
极速拍档Speedsters,@极速拍档-NANA 的#小米su7# 快提车了，到时候装上新刹车皮给大家拍期节目好不好呀,昨天 21:13 转赞人数超过30,1,7,36
ChrisZCT,"军儿，你越界了
#雷军##小米##小米su7#",昨天 21:11 转赞人数超过100,1,37,140
数码警官,"小米su7标准版700续航全程120～三个男人👨🏻后备箱有150斤东西，后面修路50公里限60...70开，最后剩%1电量最终500公里续航能力。
冬瓜同学全程直播～2024/4/24日#小米su7#",12小时前,转发,1,6
大梦-LICHAN,"看到一张#小米SU7# 各城市的交付数据图，不知真假仅供参考。

这数据看起来买车的基本都还是一二线，广州有点拉啊！苏州倒是好意外，买的人真不少。

小米汽车小米#小米汽车#",12小时前,2,6,12
长三角行健者,"刚刚接到一个电话，沟通了目前的业务进展，顺便分享了一下小米授权的进展，首先他们有信心在第二批授权中拿下一家，同时问我是否有必要继续扩大投资去其它地方申请，基于以下三点我认为有必要：
1. 目前佣金3.5%，0.5%建店支持（3-5月份），0.3-0.5%客户满意度奖励，考虑到装修和租金，今年可以实现微 ...全文",昨天 20:54 转赞人数超过40,5,19,48
王晓雁,"#小米SU7#已上市近一个月 热度不减
明早09:20 听雷总和大家聊聊进展和规划

#小米SU7##2024北京车展#明天现场见",昨天 20:34 转赞人数超过50,6,15,73
爱开车的小赖,"小米su7，就还行吧，一般般

汽车#小米su7##小米汽车# 爱开车的小赖的微博视频",13小时前,12,13,117
猫窝爪机,"su7的翼子板后续？不知道翼子板脱落的su7的车主是否冲过水位比较深的地方呢？

#小米su7#",13小时前,转发,6,17
李铭泽limze,"前阵子我出掉了08年上牌的一款雷克萨斯ls600hl
当年220多万，现在打1折😂
这车并不差，但对我来说
传统油车的豪华，性能，都在贬值
养这样一台车的固定成本又太高（车船税）
并且时至今日也不能够提供很好的驾驶乐趣和功能
卖掉它的理由，其实和周鸿祎卖掉迈巴赫的理由也差不多
传统豪华车的定义已经 ...全文",13小时前,1,评论,3
池州风土人情,#小米SU7##小米汽车# 小米汽车随处可见了,13小时前,转发,评论,1
中汽试炼场,2024北京车展不知道看什么？一个视频讲清楚 #2024北京车展##2024北京车展前瞻##小米su7##问界新m5# 中汽试炼场的微博视频,13小时前,7,8,41
车轮上的世界,保时捷暗暗讽刺小米SU7！？仔细看，处处惊艳，保时捷北京车展广告词，啥意思嘛？！指的是雷军牌小米SU7处处惊艳吗？！此处省略一万字 ~ #百家车坛 ##雷军##小米su7##2024北京国际车展##2024北京车展# 车轮上的世界的微博视频,14小时前,转发,1,3
Benchmarker,"小鹏P7i & 小米SU7试驾：“老辈子”遇上“新同学”

严格来讲，SU7和P7i在车型级别上差了一级，另外今天的两台车配置款型和价格不是完全对位的，所以我们不做很具象的产品点对比。更多的是结合两台车部分重叠的价格聊一聊性价比
以及我们开过两台车之后的一些感受分享给大家。

#小米su7# #小鹏p7i# ...全文",14小时前,14,22,39
猛流轩轩雨,终于看到小米SU7了#小米su7#,14小时前,转发,7,2
猛流轩轩雨,终于看到小米SU7了#小米su7#,14小时前,转发,7,2
米系科技,"36氪报道，小米汽车第二款车型定位纯电SUV，预计于2025年上半年推出。同时，小米汽车还有第三款车型，预计将于2026年推出，定位在15万元级。

如果信息属实，2027年小米有机会跻身国内头部行列。 #小米su7#",14小时前,转发,1,1
我是HYK,"陈震直播回应小米SU7 争议后，我问了他三个问题！

经历了这次风波，有没有对小米品牌产生一些不满？小米SU7 Max 产品力在同价位如何？对接下来小米 SUV 的期待是什么？作为博主我也问了问陈震在商业合作过程中的一些权衡是什么？值得一看！#陈震直播回应小米SU7争议##陈震称小米su7背离自己预期# ...全文",昨天 19:05 转赞人数超过2400,354,637,2680
理智派,"拿到小米SU7了，
Max版的800v真香，
这车是真好开，
刚刚雨中拍摄衣服都湿透了，
没办法这车太好看了根本停不下来！
大家期待我们的成片吗

汽车#小米su7#",14小时前,转发,3,43
蹦蹦数码圈,#小米su7#真是太好看了，有钱马上搞个高配,14小时前,转发,1,赞
小爱同学,"故障灯闪是什么意思？弹射模式要怎么开？不知道儿童锁在哪？
AI大模型赋能的#小米SU7#小爱同学智能语音，海量知识随行随问，懂车更懂设备的事儿！#小爱同学升级大模型#",昨天 18:43 转赞人数超过20,3,5,35
新渠道-李霸天,"#小米SU7锁单破7万#

截止4/20，小米SU7的锁单破7万

难怪智界、蔚来纷纷推出“SU7专项补贴”，小米一时半会也交不了车，可以抢一波等不及的客户

#小米SU7##智界s7##蔚来#",昨天 18:37 转赞人数超过100,1,37,116
小鱼曼塔,"#小米su7# 是真的帅！
啥时候我能摇上号",15小时前,转发,1,1
小鱼曼塔,"#小米su7# 是真的帅！
啥时候我能摇上号",15小时前,转发,1,1
大妖妖,"烦死了，我爸给我拍的好丑。。。
不过小米真美啊！！！！@雷军 @小米汽车
#小米su7##小米汽车#",昨天 18:30 转赞人数超过800,16,238,916
什么时间都是,还真有点东西喔，可以啊juner#小米su7##bilibili# 铁秀IRONSHOW的视频小米三年就造出这么个SU7？,15小时前,转发,评论,赞
电盒校长,"真的很业余……

很业余

别人的基操，小米Su7都做不到，智能化智能在哪里呢？

实景操作@LAC-庆舍

#小米su7# 电盒校长的微博视频",昨天 18:28 转赞人数超过400,40,200,624
美吕Shirley,#小米SU7# 明早09:20 发布会见！#2024北京车展# 北京,15小时前,转发,评论,赞
超正经BB车评,好好好，第一眼看成 #红米redmi# ，起猛了以为红米出车了。。#北京车展##2024北京车展##北京车展##小米su7#,16小时前,转发,1,2
我想改一个很长的昵称,"-大哥好可爱☺️
看到我在拍小米su7 转头就给我比了个耶✌️小米汽车#小米su7#",16小时前,转发,1,赞
海边的OUT曼,"小米SU7提车驾驶体验两周了，很喜欢。对后面的OTA升级满怀期待。有些用户体验请@小米汽车 转攻城狮看可否关注解决一下？
1.能否设置在后雾灯开启时，默认打开前大灯（这车没有前雾灯，那天大雾，打开了后雾灯，可是前大灯并没有开启，可能因为光感足够没有触发开启）
2.希望支持在车机大屏查看优盘里的 ...全文",16小时前,转发,评论,3
Xauto报告,"小米SU7推送功能优化更新

4月24日，小米官微表示，小米计划在4月24日陆续向用户推送部分功能优化，包括以下内容：修复交流充电系统进入保护机制后，偶发无法通过充电枪按钮解锁电子锁的问题；优化充电逻辑，提升第三方品牌充电桩充电兼容性；修复开门降音功能的偶发失效。
#汽场全开##小米su7#",16小时前,转发,评论,2
天天座萝世,"#小米su7# 作为双持车主，说一下SU7 Max比小鹏G9好的地方

1.基础驾驶层面，SU7吊打G9，绝对意义上的好开，远不仅是轿车形态的优势，很多标定SU7也更合理，比如都在舒适模式的情况下，G9的刹车跟神经病一样，SU7柔和且线性太多了；

2.平台以外的车机硬件，SU7也全方位领先，比如SU7的屏幕，PFS背光广 ...全文",昨天 17:02 转赞人数超过30,转发,15,40
大家车汽车膜,"贴窗膜会不会影响ETC使用？

先给结论：陶瓷膜不影响，金属膜会影响，但有办法解决。

1、原车自带ETC设备的车型，设备会紧贴着前挡玻璃（图1），贴膜这一块也是不能贴，所以贴金属膜不会影响。

2、其他车型我们则会在ETC预装的位置，单独裁切一块放置ETC的位置（图2），这样就能避免金属膜遮蔽ETC信 ...全文",16小时前,1,2,3
晓宇叭叭车,小米SU7挑战超高难度鬼探头！小米汽车 #小米SU7# 晓宇叭叭车的微博视频,16小时前,转发,1,赞
LAC-庆舍,"#小米su7# 真实用车分享：
苹果手机经常不识别，我不知道小米自己的手机会不会好一点。
小米汽车App长时间未使用（比如几个小时后）就经常出现无法识别到手机，从而开启车门以及启动车辆。
解决方法：打开手机APP后，3-5秒左右即可识别",昨天 16:56 转赞人数超过100,18,53,174
潘晓晓晓晓晓晓晓雯,"#小米su7# 大家拿到车了吗？冰可乐喝了吗？发现冰箱的小细节了吗？

冰箱里的防滚置物垫，考虑了各种尺寸的饮料瓶，无论放一瓶两瓶三瓶...都能不滚动

可以说是，为驾驶者设计的电冰箱了 北京·小米移动互联网产业园",昨天 16:53 转赞人数超过20,6,10,31
阿远Yision,#小米SU7# 手机支架挺好，可以当个车内拍摄机位📱,16小时前,转发,6,8
开车小麒麟,"买1810，等小米SUV的第11个交易日！
用买小米su7的钱买入小米集团的股票，是个好
选择吗？
今天小米集团上涨2.9%，收盘价非常吉利16.66，盈利增长6千多块，涨得没多快，胜在稳稳当当。
不过要是放在我大A这里，今天的缺口和收盘价以及花旗、大摩的看多，都是看跌的信号啊，港股应该不吃这一套吧！
明天 ...全文",17小时前,转发,评论,赞
大梦-LICHAN,"雷总明天要公布#小米SU7# 的浙赛成绩，小刀消息听到的是1分33.819秒，如果是真的，那就是总榜第七纯电第一。

作为对标，极氪001FR在总榜21。

不过小道消息说的是Ultra版，也就是搭载了V8s电机的版本。然后雷总预热说的又是MAX版，而且还是原厂胎。

这个成绩靠双电机还是有点难，所以我觉得可能会发 ...全文",17小时前,2,11,16
冲浪少女杨美丽,买小米SU7的理由又多了一个：吸引男大#亿点曝光计划##小米su7#小米汽车 冲浪少女杨美丽的微博视频,昨天 16:26 转赞人数超过50,6,4,53
段小熊silence,把这个小米su7的证书也挂在墙上了，啥时候雷总给上面来个手签哈？@雷军 @小米汽车 @小米社区 @小米山西 #小米su7##小米汽车#小米汽车,17小时前,转发,7,13
黎Sir教路,"小米SU7马上公布在浙赛的圈速

所以我就把圈速榜发上来给大家参考一下吧

我想

是不是可多公布一个刹车能承受多少圈的数据呢？

#大v聊车##小米SU7##2024北京车展#",17小时前,1,11,9
你好鱼弟,"圆梦了，终于开上了小米SU7
#小米su7# 你好鱼弟的微博视频",17小时前,转发,2,1
黎Sir教路,"小米汽车将于北京车展公布小米SU7在浙赛的圈速

你猜在哪个范围内，评论区可补充

#大v聊车##2024北京车展##小米SU7# 网页链接",17小时前,转发,1,101
卫星信号正常,"小米汽车展台，吉利在它隔壁，极越在它正对面，智己在它斜对面

#2024北京车展##新能源汽车##小米su7# 卫星信号正常的微博视频",17小时前,转发,1,1
喂汽车,"小米是懂营销的妥妥的主场C位
#新能源汽车##小米su7##2024北京车展# 喂汽车的微博视频",17小时前,转发,2,2
